,jurisdiction,collection_id,document_role,title,url,path
10,US Federal,90-FR-9088,responses_zip,NITRD combined responses bundle (ZIP),https://files.nitrd.gov/90-fr-9088/90-fr-9088-combined-responses.zip,data/comments/nitrd_ai_rfi/90-FR-9088/raw/90-fr-9088-combined-responses.zip
11,US Federal,90-FR-9088,action_plan,America's AI Action Plan (PDF),https://www.whitehouse.gov/wp-content/uploads/2025/07/Americas-AI-Action-Plan.pdf,data/comments/nitrd_ai_rfi/90-FR-9088/raw/Americas-AI-Action-Plan.pdf
12,US Federal,90-FR-9088,action_plan_web,AI.gov action plan landing page,https://www.ai.gov/action-plan,data/comments/nitrd_ai_rfi/90-FR-9088/raw/ai-gov-action-plan.html
13,California,PR-02-2023,call_overview,CPPA CCPA updates landing page,https://cppa.ca.gov/regulations/ccpa_updates.html,data/comments/cppa_admt/PR-02-2023/raw/ccpa_updates_cyber_risk_admt.html
14,California,PR-02-2023,fsor_and_uid,CPPA FSOR & UID (PDF),https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_fsor_and_uid.pdf,data/comments/cppa_admt/PR-02-2023/raw/ccpa_updates_cyber_risk_admt_fsor_and_uid.pdf
15,California,PR-02-2023,fsor_appendix_a,CPPA FSOR Appendix A (PDF),https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_fsor_appen_a.pdf,data/comments/cppa_admt/PR-02-2023/raw/ccpa_updates_cyber_risk_admt_fsor_appen_a.pdf
16,California,PR-02-2023,fsor_appendix_b,CPPA FSOR Appendix B (PDF),https://www.cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_fsor_appen_b.pdf,data/comments/cppa_admt/PR-02-2023/raw/ccpa_updates_cyber_risk_admt_fsor_appen_b.pdf
17,European Union,WHITEPAPER-AI-2020,call_overview,EC White Paper landing page,https://commission.europa.eu/publications/white-paper-artificial-intelligence-european-approach-excellence-and-trust_en,data/comments/eu_have_your_say_playwright/WHITEPAPER-AI-2020/raw/white-paper-artificial-intelligence-european-approach-excellence-and-trust.html
18,European Union,WHITEPAPER-AI-2020,call_pdf,EC White Paper PDF,https://commission.europa.eu/system/files/2020-02/commission-white-paper-artificial-intelligence-feb2020_en.pdf,data/comments/eu_have_your_say_playwright/WHITEPAPER-AI-2020/raw/commission-white-paper-artificial-intelligence-feb2020_en.pdf
19,European Union,WHITEPAPER-AI-2020,response_summary,White Paper consultation summary (PDF),https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=68462,data/comments/eu_have_your_say_playwright/WHITEPAPER-AI-2020/raw/whitepaper-consultation-summary.pdf
20,European Union,AI-ACT-2021-ADOPTION-FEEDBACK,call_overview,AI Act proposal (EUR-Lex HTML),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52021PC0206,data/comments/eu_have_your_say_playwright/AI-ACT-2021-ADOPTION-FEEDBACK/raw/eur-lex-52021PC0206.html
21,European Union,AI-ACT-2021-ADOPTION-FEEDBACK,impact_assessment_part_1,AI Act impact assessment – part 1 (PDF),https://artificialintelligenceact.eu/wp-content/uploads/2022/06/AIA-COM-Impact-Assessment-1-21-April.pdf,data/comments/eu_have_your_say_playwright/AI-ACT-2021-ADOPTION-FEEDBACK/raw/AIA-COM-Impact-Assessment-1-21-April.pdf
22,European Union,AI-ACT-2021-ADOPTION-FEEDBACK,impact_assessment_part_2,AI Act impact assessment – part 2 (PDF),https://artificialintelligenceact.eu/wp-content/uploads/2022/06/AIA-COM-Impact-Assessment-2-21-April.pdf,data/comments/eu_have_your_say_playwright/AI-ACT-2021-ADOPTION-FEEDBACK/raw/AIA-COM-Impact-Assessment-2-21-April.pdf
23,European Union,AI-ACT-2021-ADOPTION-FEEDBACK,impact_assessment_doc2,AI Act impact assessment – DOC_2 (PDF),https://eur-lex.europa.eu/resource.html?format=PDF&uri=cellar%3A0694be88-a373-11eb-9585-01aa75ed71a1.0001.02%2FDOC_2,data/comments/eu_have_your_say_playwright/AI-ACT-2021-ADOPTION-FEEDBACK/raw/eur-lex-0694be88-DOC_2.pdf
24,United Kingdom,ai-white-paper-2023,call_overview,UK DSIT AI regulation landing page,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach,data/comments/gov_uk/ai-white-paper-2023/raw/ai-regulation-a-pro-innovation-approach.html
25,United Kingdom,ai-white-paper-2023,white_paper_html,UK AI regulation white paper HTML,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,data/comments/gov_uk/ai-white-paper-2023/raw/ai-regulation-white-paper.html
26,United Kingdom,ai-white-paper-2023,white_paper_pdf,Statewatch copy of the white paper (PDF),https://www.statewatch.org/media/3924/uk-ai-white-paper.pdf,data/comments/gov_uk/ai-white-paper-2023/raw/uk-ai-white-paper-statewatch.pdf
27,United Kingdom,government_consultations_ai-regulation-a-pro-innovation-approach-policy-proposals,call_overview,Consultation page for AI regulation policy proposals,https://www.gov.uk/government/consultations/ai-regulation-a-pro-innovation-approach-policy-proposals,data/comments/gov_uk/government_consultations_ai-regulation-a-pro-innovation-approach-policy-proposals/raw/ai-regulation-policy-proposals.html
28,United Kingdom,government_consultations_ai-regulation-a-pro-innovation-approach-policy-proposals,response_overview,Government response landing page,https://www.gov.uk/government/consultations/ai-regulation-a-pro-innovation-approach-policy-proposals/outcome/a-pro-innovation-approach-to-ai-regulation-government-response,data/comments/gov_uk/government_consultations_ai-regulation-a-pro-innovation-approach-policy-proposals/raw/ai-regulation-government-response.html
29,United Kingdom,government_consultations_ai-regulation-a-pro-innovation-approach-policy-proposals,response_pdf_web,Government response (web-ready PDF),https://assets.publishing.service.gov.uk/media/65c1e399c43191000d1a45f4/a-pro-innovation-approach-to-ai-regulation-amended-governement-response-web-ready.pdf,data/comments/gov_uk/government_consultations_ai-regulation-a-pro-innovation-approach-policy-proposals/raw/a-pro-innovation-approach-to-ai-regulation-government-response-web-ready.pdf
30,United Kingdom,government_consultations_ai-regulation-a-pro-innovation-approach-policy-proposals,response_pdf_print,Government response (print-ready PDF),https://assets.publishing.service.gov.uk/media/65c1e41663a23d000dc8224f/a-pro-innovation-approach-to-ai-regulation-amended-governement-response-print-ready.pdf,data/comments/gov_uk/government_consultations_ai-regulation-a-pro-innovation-approach-policy-proposals/raw/a-pro-innovation-approach-to-ai-regulation-government-response-print-ready.pdf
31,United Kingdom,government_consultations_copyright-and-artificial-intelligence,call_overview,UK IPO AI & IP consultation landing page,https://www.gov.uk/government/consultations/artificial-intelligence-and-ip-copyright-and-patents,data/comments/gov_uk/government_consultations_copyright-and-artificial-intelligence/raw/artificial-intelligence-and-ip-copyright-and-patents.html
32,United Kingdom,government_consultations_copyright-and-artificial-intelligence,call_detail,UK IPO consultation detail page,https://www.gov.uk/government/consultations/artificial-intelligence-and-ip-copyright-and-patents/artificial-intelligence-and-intellectual-property-copyright-and-patents,data/comments/gov_uk/government_consultations_copyright-and-artificial-intelligence/raw/artificial-intelligence-and-intellectual-property-copyright-and-patents.html
33,United Kingdom,government_consultations_copyright-and-artificial-intelligence,response_overview,UK IPO consultation outcome page,https://www.gov.uk/government/consultations/artificial-intelligence-and-ip-copyright-and-patents/outcome/artificial-intelligence-and-intellectual-property-copyright-and-patents-government-response-to-consultation,data/comments/gov_uk/government_consultations_copyright-and-artificial-intelligence/raw/artificial-intelligence-and-ip-government-response.html
